plots,splots,block,irrigation,cultivar,inoculum,exp_unit
101,1,1,optimal,Fronteras,control,1
101,2,1,optimal,Fronteras,inoculated,2
101,3,1,optimal,Monterey,control,3
101,4,1,optimal,Monterey,inoculated,4
102,1,1,high,Fronteras,control,5
102,2,1,high,Monterey,control,6
102,3,1,high,Fronteras,inoculated,7
102,4,1,high,Monterey,inoculated,8
103,1,1,low,Monterey,control,9
103,2,1,low,Fronteras,control,10
103,3,1,low,Monterey,inoculated,11
103,4,1,low,Fronteras,inoculated,12
104,1,2,low,Monterey,inoculated,13
104,2,2,low,Fronteras,inoculated,14
104,3,2,low,Monterey,control,15
104,4,2,low,Fronteras,control,16
105,1,2,optimal,Monterey,control,17
105,2,2,optimal,Fronteras,control,18
105,3,2,optimal,Monterey,inoculated,19
105,4,2,optimal,Fronteras,inoculated,20
106,1,2,high,Fronteras,inoculated,21
106,2,2,high,Monterey,control,22
106,3,2,high,Fronteras,control,23
106,4,2,high,Monterey,inoculated,24
107,1,3,optimal,Fronteras,inoculated,25
107,2,3,optimal,Monterey,inoculated,26
107,3,3,optimal,Monterey,control,27
107,4,3,optimal,Fronteras,control,28
108,1,3,low,Monterey,control,29
108,2,3,low,Fronteras,control,30
108,3,3,low,Monterey,inoculated,31
108,4,3,low,Fronteras,inoculated,32
109,1,3,high,Fronteras,inoculated,33
109,2,3,high,Monterey,inoculated,34
109,3,3,high,Monterey,control,35
109,4,3,high,Fronteras,control,36
110,1,4,high,Monterey,control,37
110,2,4,high,Fronteras,control,38
110,3,4,high,Fronteras,inoculated,39
110,4,4,high,Monterey,inoculated,40
111,1,4,low,Monterey,inoculated,41
111,2,4,low,Monterey,control,42
111,3,4,low,Fronteras,control,43
111,4,4,low,Fronteras,inoculated,44
112,1,4,optimal,Fronteras,control,45
112,2,4,optimal,Monterey,control,46
112,3,4,optimal,Fronteras,inoculated,47
112,4,4,optimal,Monterey,inoculated,48
