Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
75,Irvine,South Coast Valleys,10/1/2018,274,4.10, ,0.00, ,215, ,1.7, ,31.6, ,16.7, ,24.3, ,91, ,37, ,57, ,15.1, ,1.4, ,124.2, ,23.2, 
75,Irvine,South Coast Valleys,10/2/2018,275,3.23, ,0.10, ,161, ,1.7, ,27.6, ,18.6, ,22.4, ,89, ,31, ,61, ,14.5, ,1.8, ,155.5, ,23.3, 
75,Irvine,South Coast Valleys,10/3/2018,276,2.41, ,4.70, ,135, ,1.8, ,26.1, ,17.8, ,21.1, ,95, ,50, ,73, ,16.0, ,1.8, ,157.4, ,23.1, 
75,Irvine,South Coast Valleys,10/4/2018,277,3.73, ,0.10, ,234, ,1.9, ,24.7, ,16.8, ,19.9, ,97, ,60, ,81, ,16.4, ,1.4, ,122.5, ,23.0, 
75,Irvine,South Coast Valleys,10/5/2018,278,3.90, ,0.00, ,247,R,1.8, ,24.3, ,15.8, ,19.8, ,96, ,60, ,76, ,15.5, ,1.3, ,115.9, ,23.0, 
75,Irvine,South Coast Valleys,10/6/2018,279,3.06, ,0.00, ,180, ,1.7, ,23.2, ,15.8, ,19.3, ,91, ,64, ,76, ,15.0, ,2.3, ,199.2, ,22.6, 
75,Irvine,South Coast Valleys,10/7/2018,280,3.02, ,0.00, ,184, ,1.7, ,23.9, ,14.7, ,19.1, ,92, ,58, ,76, ,14.7, ,1.5, ,132.7, ,22.2, 
75,Irvine,South Coast Valleys,10/8/2018,281,3.28, ,0.00, ,210, ,1.7, ,24.0, ,14.0, ,18.5, ,94, ,59, ,78, ,14.5, ,1.4, ,120.5, ,22.0, 
75,Irvine,South Coast Valleys,10/9/2018,282,3.38, ,0.00, ,216, ,1.6, ,23.9, ,15.2, ,18.7, ,90, ,55, ,74, ,14.0, ,1.4, ,120.1, ,22.0, 
75,Irvine,South Coast Valleys,10/10/2018,283,3.52, ,0.00, ,224, ,1.5, ,22.6, ,13.1, ,18.0, ,93, ,56, ,71, ,12.7, ,1.5, ,130.2, ,21.8, 
75,Irvine,South Coast Valleys,10/11/2018,284,3.60, ,0.00, ,219, ,1.3, ,23.7, ,13.2, ,17.6, ,94, ,41, ,65, ,11.0, ,1.4, ,119.1, ,21.4, 
75,Irvine,South Coast Valleys,10/12/2018,285,3.54, ,19.00, ,213, ,1.5, ,26.7, ,11.2, ,18.0, ,97, ,41, ,72, ,13.0, ,1.7, ,142.9, ,20.9, 
75,Irvine,South Coast Valleys,10/13/2018,286,0.12, ,6.90,H,36, ,1.7, ,17.1, ,14.7, ,16.2, ,98, ,85, ,93, ,15.1, ,1.0, ,86.4, ,20.6, 
75,Irvine,South Coast Valleys,10/14/2018,287,2.59, ,1.50,H,173, ,1.7, ,23.1, ,14.4, ,17.6, ,99, ,63, ,83, ,14.8, ,1.2, ,103.3, ,20.5, 
75,Irvine,South Coast Valleys,10/15/2018,288,5.80, ,0.30,H,243,R,0.4,Y,25.5, ,14.4, ,21.0, ,97, ,7, ,17,Y,-4.6,Y,3.5,R,302.3,R,19.9, 
75,Irvine,South Coast Valleys,10/16/2018,289,4.93, ,0.00, ,239,R,0.4,Y,28.4, ,9.9, ,19.8, ,39, ,8, ,19,Y,-4.7,Y,2.2, ,190.3, ,18.6, 
75,Irvine,South Coast Valleys,10/17/2018,290,3.87, ,0.00, ,226,R,0.8, ,26.0, ,10.2, ,18.6, ,63, ,21, ,38, ,4.0, ,1.4, ,121.8, ,18.3, 
