Block,Irrigation,Cultivar,Inoculum,Plant,29-Oct-19,5-Nov-19,19-Nov-19,3-Dec-19,16-Dec-19,14-Jan-20,27-Jan-20,11-Feb-20,25-Feb-20,9-Mar-20,24-Mar-20,14-Apr-20,28-Apr-20,12-May-20,26-May-20,9-Jun-20,23-Jun-20
1,High,Fronteras,Control,1,,,,,,,,,,,,,0,2,2,1,2
1,High,Fronteras,Control,2,,,,,,,,,,,,,0,1,1,1,2
1,High,Fronteras,Control,3,,no green,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,4,,,,,,,,,,,,,0,0,2,1,2
1,High,Fronteras,Control,5,,,,,,,,,,,,,0,3,4,3,5
1,High,Fronteras,Control,6,,,,,,,,,,,,,2,3,4,sampled,sampled
1,High,Fronteras,Control,7,,,,,,,,,,,,,0,2,2,1,2
1,High,Fronteras,Control,8,,,,,,,,,,,,,0,2,2,1,2
1,High,Fronteras,Control,9,,,,,,,,,,,,,0,1,2,1,2
1,High,Fronteras,Control,10,out of hole,,,sensor,,,,,,,,,2,2,3,2,2
1,High,Fronteras,Control,11,,,,,,,,,,,,,0,1,2,1,2
1,High,Fronteras,Control,12,,,,,,,,,,,,,0,1,2,1,2
1,High,Fronteras,Control,13,out of hole,no green,,,,,,,,,,,0,2,2,2,3
1,High,Fronteras,Control,14,,,,,,,,,,,,,0,2,2,2,3
1,High,Fronteras,Control,15,,,,,,,,,,,,,0,2,2,2,3
1,High,Fronteras,Control,16,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Control,17,,,,,,,,,,,,,0,2,2,1,2
1,High,Fronteras,Control,18,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Control,19,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,20,,,,,,,,,,,,,0,2,1,1,2
1,High,Fronteras,Control,21,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Control,22,,,,,,,,,,,,,0,3,3,2,3
1,High,Fronteras,Control,23,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,24,,,,,,,,,,,,,0,2,2,2,3
1,High,Fronteras,Control,25,,,,,,,,,,,,,0,2,2,2,4
1,High,Fronteras,Control,26,,,,sensor,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Control,27,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,28,,,,,,,,,,,,,0,1,2,1,2
1,High,Fronteras,Control,29,,,,,,,,,,,,,0,2,2,1,2
1,High,Fronteras,Control,30,,,,,,,,,,,,,0,4,5,5,5
2,High,Fronteras,Control,1,,,,,,,,,,,,,2,1,2,1,2
2,High,Fronteras,Control,2,,,,,,,,,,,,,0,3,2,1,3
2,High,Fronteras,Control,3,,,,,,,,,,,,,2,2,2,1,2
2,High,Fronteras,Control,4,,,,,,,,,,,,,0,1,2,1,2
2,High,Fronteras,Control,5,,,,,,,,,,,,,0,1,2,2,2
2,High,Fronteras,Control,6,,,,,,,,,,,,,0,3,2,1,3
2,High,Fronteras,Control,7,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,8,,,,,,,,,,,,,0,1,2,1,2
2,High,Fronteras,Control,9,out of hole,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
2,High,Fronteras,Control,10,,,,,,,,,,,,,0,3,3,2,3
2,High,Fronteras,Control,11,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,12,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,13,,,,,,,,,,,,,0,1,1,2,3
2,High,Fronteras,Control,14,,,,,,,,,,,,,3,1,2,3,4
2,High,Fronteras,Control,15,,,,,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,16,,,,,,,,,,,,,0,1,2,1,2
2,High,Fronteras,Control,17,,,,,,,,,,,,,0,0,2,5,5
2,High,Fronteras,Control,18,not looking good,,,,,,,,,,,,0,0,2,2,3
2,High,Fronteras,Control,19,out of hole,,,,,,,,,,,,0,1,3,5,5
2,High,Fronteras,Control,20,,,,,,,,,,,,,0,1,2,3,3
2,High,Fronteras,Control,21,,,,,,,,,,,,,0,0,4,5,5
2,High,Fronteras,Control,22,,no green,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
2,High,Fronteras,Control,23,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,24,,,,,,,,,,,,,0,1,2,1,2
2,High,Fronteras,Control,25,,,,,,,,,,,,,0,2,3,2,3
2,High,Fronteras,Control,26,,,,,,,,,,,,,0,2,2,2,2
2,High,Fronteras,Control,27,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,28,,,,,,,,,,,,,0,1,1,1,2
2,High,Fronteras,Control,29,,,,,,,,,,,,,0,0,2,2,2
2,High,Fronteras,Control,30,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,1,,,,,,,,,,,,,0,2,2,2,3
3,High,Fronteras,Control,2,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,3,,,,,,,,,,,,,0,2,1,2,3
3,High,Fronteras,Control,4,,,,,,,,,,,,,0,1,2,2,2
3,High,Fronteras,Control,5,,,,,,,,,,,,,2,3,3,2,2
3,High,Fronteras,Control,6,,,,,,,,,,,,,0,2,1,2,2
3,High,Fronteras,Control,7,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,8,,,,,,,,,,,,,0,2,2,2,2
3,High,Fronteras,Control,9,,,,,,,,,,,,,0,3,5,5,5
3,High,Fronteras,Control,10,,,,,,,,,,,,,0,2,2,2,2
3,High,Fronteras,Control,11,,,,,,,,,,,,,0,3,3,sampled,sampled
3,High,Fronteras,Control,12,,,,,,,,,,,,,0,1,1,2,2
3,High,Fronteras,Control,13,,,,,,,,,,,,,0,1,2,2,2
3,High,Fronteras,Control,14,,,,,,,,,,,,,0,2,2,2,2
3,High,Fronteras,Control,15,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,16,,,,,,,,,,,,,0,2,3,2,2
3,High,Fronteras,Control,17,,,,,,,,,,,,,0,1,2,1,2
3,High,Fronteras,Control,18,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
3,High,Fronteras,Control,19,,"falling to side, replaced",dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
3,High,Fronteras,Control,20,,,,,,,,,,,,,0,2,2,3,3
3,High,Fronteras,Control,21,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
3,High,Fronteras,Control,22,,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
3,High,Fronteras,Control,23,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,24,,,,,,,,,,,,,0,2,2,1,2
3,High,Fronteras,Control,25,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
3,High,Fronteras,Control,26,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,27,,,,,,,,,,,,,2,2,2,2,2
3,High,Fronteras,Control,28,,,,,,,,,,,,,0,1,2,2,2
3,High,Fronteras,Control,29,,,,,,,,,,,,,0,2,2,2,3
3,High,Fronteras,Control,30,,,,,,,,,,,,,0,1,2,1,2
4,High,Fronteras,Control,1,,,,,,,,,,,,,0,1,2,2,2
4,High,Fronteras,Control,2,,,,,,,,,,,,,0,1,2,2,3
4,High,Fronteras,Control,3,,,,,,,,,,,,,0,2,2,2,2
4,High,Fronteras,Control,4,,,,,,,,,,,,,0,2,2,2,3
4,High,Fronteras,Control,5,,,,,,,,,,,,,0,1,2,2,5
4,High,Fronteras,Control,6,,,,,flower,,,,,,,,2,3,2,2,2
4,High,Fronteras,Control,7,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,8,,,,,,,,,,,,,0,2,2,2,2
4,High,Fronteras,Control,9,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
4,High,Fronteras,Control,10,,,,,,,,,,,,,0,1,2,3,3
4,High,Fronteras,Control,11,,,,,,,,,,,,,0,1,2,sampled,sampled
4,High,Fronteras,Control,12,,,,,,,,,,,,,0,1,2,2,2
4,High,Fronteras,Control,13,no dirt around roots,,,,,,,,,,,,0,1,2,2,2
4,High,Fronteras,Control,14,,,,,,,,,,,,,2,3,3,3,4
4,High,Fronteras,Control,15,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,16,,,,,,,,,,,,,0,0,1,1,2
4,High,Fronteras,Control,17,,,,,,,,,,,,,0,1,1,1,2
4,High,Fronteras,Control,18,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,19,,,,,,,,,,,,,0,2,2,2,2
4,High,Fronteras,Control,20,,,,,,,,,,,,,0,0,1,1,1
4,High,Fronteras,Control,21,,,,,,,,,,,,,0,0,2,3,4
4,High,Fronteras,Control,22,,,,,flower,,,,,,,,0,0,2,1,2
4,High,Fronteras,Control,23,,,,,,,,,,,,,2,4,5,5,5
4,High,Fronteras,Control,24,,,,,,,,,,,,,0,2,2,2,2
4,High,Fronteras,Control,25,,,,,,,,,,,,,0,1,1,3,4
4,High,Fronteras,Control,26,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,27,,,,,,,,,,,,,0,1,1,2,3
4,High,Fronteras,Control,28,,,,,,,,,,,,,0,0,,1,2
4,High,Fronteras,Control,29,,,,,,,,,,,,,0,1,2,2,5
4,High,Fronteras,Control,30,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Inoculated,1,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Inoculated,2,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,3,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,4,,,,,,,,,,,,,0,2,2,2,2
1,High,Fronteras,Inoculated,5,,,,,,,,,,,,,0,1,2,2,2
1,High,Fronteras,Inoculated,6,,,,,,,,,,,,,0,1,2,2,2
1,High,Fronteras,Inoculated,7,,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,8,,,,,,,,,,,,,2,3,5,5,5
1,High,Fronteras,Inoculated,9,,,,,,,,,,,,,0,1,2,2,2
1,High,Fronteras,Inoculated,10,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Fronteras,Inoculated,11,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,12,,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,13,,,,,,,,,,,,,0,2,4,5,5
1,High,Fronteras,Inoculated,14,,,,,,,,,,,,,0,2,5,5,5
1,High,Fronteras,Inoculated,15,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,16,,,,,,,,,,,,,2,3,5,5,5
1,High,Fronteras,Inoculated,17,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,18,,dead,dead,dead,dead,dead,dead,dead,dead,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,19,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,20,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,21,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,22,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,23,,,,,,,,,,,,,0,2,3,4,4
1,High,Fronteras,Inoculated,24,,,,,,,,,,,,,2,2,2,3,2
1,High,Fronteras,Inoculated,25,,,,,,,,,,,,,0,2,5,5,5
1,High,Fronteras,Inoculated,26,,,,,,,,,,,,,2,3,5,sampled,sampled
1,High,Fronteras,Inoculated,27,,,,,,,,,,,,,2,3,5,5,5
1,High,Fronteras,Inoculated,28,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Fronteras,Inoculated,29,,,,,,,,,,,,,0,1,2,1,2
1,High,Fronteras,Inoculated,30,,,,,,,,,,,,,2,4,5,5,5
2,High,Fronteras,Inoculated,1,,,,,,,,,,,,,2,3,5,5,sampled
2,High,Fronteras,Inoculated,2,,,,,,,,,,,,,0,2,2,1,2
2,High,Fronteras,Inoculated,3,,,,,,,,,,,,,0,1,3,1,2
2,High,Fronteras,Inoculated,4,,,,,,,,,,,,,2,3,5,5,5
2,High,Fronteras,Inoculated,5,,,,,,,,,,,,,0,0,3,4,5
2,High,Fronteras,Inoculated,6,,,,,,,,,,,,,0,0,2,1,2
2,High,Fronteras,Inoculated,7,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,8,,,,,,,,,,,,,0,0,2,2,3
2,High,Fronteras,Inoculated,9,,,,,,,,,,,,,0,2,5,5,5
2,High,Fronteras,Inoculated,10,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,11,,,,,,,,,,,,,0,1,2,2,4
2,High,Fronteras,Inoculated,12,,,,,,,,,,,,,0,4,5,5,5
2,High,Fronteras,Inoculated,13,,,,,,,,,,,,,0,3,5,5,5
2,High,Fronteras,Inoculated,14,,,,,,,,,,,,,2,2,2,1,2
2,High,Fronteras,Inoculated,15,,,,,,,,,,,,,2,1,2,2,2
2,High,Fronteras,Inoculated,16,,,,,,,,,,,,,0,2,2,2,2
2,High,Fronteras,Inoculated,17,,,,,,,,,,,,,2,2,2,4,5
2,High,Fronteras,Inoculated,18,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,19,,,,,,,,,,,,,0,0,2,1,2
2,High,Fronteras,Inoculated,20,,,,,,,,,,,,,0,0,2,4,5
2,High,Fronteras,Inoculated,21,,,,,,,,,,,,,0,1,3,4,4
2,High,Fronteras,Inoculated,22,,,,,,,,,,,,,0,2,4,2,2
2,High,Fronteras,Inoculated,23,,,,,,,,,,,,,0,0,3,2,2
2,High,Fronteras,Inoculated,24,,,little green,,,,very small,very small,,,,,0,0,2,1,2
2,High,Fronteras,Inoculated,25,,,,,,,,,,,,,0,1,2,2,3
2,High,Fronteras,Inoculated,26,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,27,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,28,,,,,,,,,,,,,2,1,2,1,2
2,High,Fronteras,Inoculated,29,,,,,,,,,,,,,0,1,2,3,5
2,High,Fronteras,Inoculated,30,,,,,,,,,,,,,2,2,5,5,5
3,High,Fronteras,Inoculated,1,,,,,,,,,,,,,0,1,5,5,5
3,High,Fronteras,Inoculated,2,,,,,,,,,,,,,0,1,1,2,5
3,High,Fronteras,Inoculated,3,,,,,,,,,,,,,0,2,2,3,5
3,High,Fronteras,Inoculated,4,,,,,,,,,,,,,0,1,2,1,4
3,High,Fronteras,Inoculated,5,,,,,,,,,,,,,0,1,2,2,3
3,High,Fronteras,Inoculated,6,,,,,,,,,,,,,0,1,2,2,2
3,High,Fronteras,Inoculated,7,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,8,,,,,,,,,,,,,0,2,4,5,5
3,High,Fronteras,Inoculated,9,,,,,,,,,,,,,0,2,4,5,5
3,High,Fronteras,Inoculated,10,,,,,,,,,,,,,0,1,1,2,2
3,High,Fronteras,Inoculated,11,,,,,,,,,,,,,2,3,5,sampled,sampled
3,High,Fronteras,Inoculated,12,,,,,,,,,,,,,0,1,2,2,2
3,High,Fronteras,Inoculated,13,,,,,,,,,,,,,2,1,4,5,5
3,High,Fronteras,Inoculated,14,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,15,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,16,,,,,,,,,,,,,0,2,2,2,2
3,High,Fronteras,Inoculated,17,,,,,,,,,,,,,0,3,5,5,5
