Block,Irrigation,Cultivar,Inoculum,Plant,30-Oct-20,19-Nov-20,30-Nov-20,14-Dec-20,11-Jan-21,25-Jan-21,8-Feb-21,22-Feb-21,8-Mar-21,22-Mar-21,5-Apr-21,17-Apr-21,M-4/17/2021,3-May-21,17-May-21,31-May-21,M-5/31/2021,14-Jun-21,28-Jun-21
1,High,Fronteras,Control,1,,,,,,,,,,,,1,1,1,2,1,1,2,2
1,High,Fronteras,Control,2,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,3,,,,,,,,,,,,1,1,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,4,,,,,,,,,,,,1,2,1,2,2,1,2,2
1,High,Fronteras,Control,5,,,,,,,,,,,,1,2,2,2,2,1,2,2
1,High,Fronteras,Control,6,,,,,,,,,,,,1,2,1,5,5,4,5,5
1,High,Fronteras,Control,7,,,,,,,,,,,,1,2,2,2,2,1,2,3
1,High,Fronteras,Control,8,,,,,,,,,,,,1,1,1,1,2,1,2,2
1,High,Fronteras,Control,9,,,,,,,,,,,,1,1,1,1,2,1,3,4
1,High,Fronteras,Control,10,,,,,,,,,,,,1,2,1,1,2,sampled,sampled,sampled
1,High,Fronteras,Control,11,,,,,,,,,,,dead,5,4,5,5,5,4,5,x
1,High,Fronteras,Control,12,,,,,,,,,,,,1,1,2,2,2,1,2,3
1,High,Fronteras,Control,13,,,,,,,,,,,,1,1,2,1,3,1,5,sampled
1,High,Fronteras,Control,14,,,,,,,,,,,,1,2,2,1,2,1,3,2
1,High,Fronteras,Control,15,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,16,,,,,,,,,,,,1,1,1,3,2,1,2,2
1,High,Fronteras,Control,17,,,,,,,,,,,,0,1,0,0,0,1,1,2
1,High,Fronteras,Control,18,,,,,,,,,,,,1,2,2,5,5,4,5,5
1,High,Fronteras,Control,19,,,,,,,,,,,,1,2,1,1,1,1,1,2
1,High,Fronteras,Control,20,,,,,,,,,,,,2,2,2,1,1,1,2,2
1,High,Fronteras,Control,21,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Fronteras,Control,22,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,23,,,,,,,,,,,,2,1,1,1,2,1,5,5
1,High,Fronteras,Control,24,,,,,,,,,,,,0,1,1,2,1,1,1,1
1,High,Fronteras,Control,25,,,,,,,,,,,,0,1,1,0,1,1,2,3
1,High,Fronteras,Control,26,,,,,,,,,,,,1,2,2,3,2,1,2,4
1,High,Fronteras,Control,27,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Control,28,,,,,,,,,,,,1,2,4,4,2,1,2,2
1,High,Fronteras,Control,29,,,,,,,,,,,,1,1,2,1,1,1,1,5
1,High,Fronteras,Control,30,,,,,,,,,,,,2,3,5,5,5,4,5,5
2,High,Fronteras,Control,1,"out of ground, replaced",,,,,,,,,,,2,2,3,2,2,1,2,4
2,High,Fronteras,Control,2,,,,,,,,,,,,2,2,2,2,2,1,2,3
2,High,Fronteras,Control,3,,,,,,,,,,,,2,2,2,2,2,1,2,2
2,High,Fronteras,Control,4,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,5,,,,,,,,,,,,1,2,2,2,5,4,5,5
2,High,Fronteras,Control,6,,,,,,,,,,,,2,3,2,2,2,1,4,5
2,High,Fronteras,Control,7,,,,,,,,,,,,2,2,3,2,3,1,2,2
2,High,Fronteras,Control,8,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,9,,,,,,,,,,,,1,3,2,2,2,1,2,1
2,High,Fronteras,Control,10,,,,,,,,,,,,1,2,2,3,3,1,2,2
2,High,Fronteras,Control,11,,,,,,,,,,,,1,2,2,1,2,1,2,0
2,High,Fronteras,Control,12,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,13,,,,,,,,,,,,1,2,2,2,2,1,2,2
2,High,Fronteras,Control,14,,,,,,,,,,,,1,2,2,2,2,1,2,2
