date,eventlength_low,eventlength_opt,eventlength_high,flowmeter_low_before,flowmeter_low_after,deliver_low_gal,deliver_low_in,recommend_low_in,event_low_id,flowmeter_optimal_before,flowmeter_optimal_after,deliver_optimal_gal,deliver_optimal_in,recommend_optimal_in,flowmeter_high_before,flowmeter_high_after,deliver_high_gal,deliver_high_in,recommend_high_in
Before treatments started,,,,0,360,360,0.79,,,0,380,380,0.82,,0,430,430,0.94,
1/26/19,,90,90,360,360,0,0.00,,,380,605,225,0.48,0.36,430,650,220,0.48,0.36
1/28/19,,,60,360,360,0,0.00,,,605,605,0,0.00,,650,800,150,0.33,0.24
1/30/19,,100,42,360,360,0,0.00,,,605,820,215,0.46,0.401,800,890,90,0.20,0.168
02/06/19,60,60,60,360,450,90,0.20,0.24,1,820,920,100,0.21,0.24,890,980,90,0.20,0.24
02/11/19,,,45,480,480,0,0.00,,,950,950,0,0.00,,1010,1120,110,0.24,0.18
02/18/19,,,52,480,480,0,0.00,,,950,950,0,0.00,,1120,1150,30,0.07,0.21
2/20/19,,167,53,480,480,0,0.00,,,950,1290,340,0.73,0.667,1150,1260,110,0.24,0.211
2/22/19,60,60,45,480,630,150,0.33,0.24,2,1290,1440,150,0.32,0.24,1260,1400,140,0.31,0.312
2/23/19,60,60,60,630,740,110,0.24,0.24,2,1440,1560,120,0.26,0.24,1400,1520,120,0.26,0.24
2/26/19,,94,94,740,740,0,0.00,,,1560,1760,200,0.43,0.374,1520,1720,200,0.44,0.374
2/28/19,,,53,740,740,0,0.00,,,1760,1760,0,0.00,,1720,1820,100,0.22,0.211
3/5/19,,,41,740,740,0,0.00,,,1760,1760,0,0.00,,1820,1910,90,0.20,0.163
3/9/19,,,30,740,740,0,0.00,,,1760,1760,0,0.00,,1910,1970,60,0.13,0.12
3/11/19,,48,54,740,740,0,0.00,,,1760,1860,100,0.21,0.194,1970,2080,110,0.24,0.211
3/13/19,,,28,740,740,0,0.00,,,1860,1860,0,0.00,,2080,2130,50,0.11,0.113
3/14/19,,70,42,740,740,0,0.00,,,1860,2000,140,0.30,0.281,2130,2220,90,0.20,0.168
3/15/19,,,60,740,740,0,0.00,,,2000,2000,0,0.00,,2220,2340,120,0.26,0.247
3/16/19,,120,60,740,740,0,0.00,,,2000,2230,230,0.49,0.48,2340,2450,110,0.24,0.15
3/17/19,,,60,740,740,0,0.00,,,2230,2230,0,0.00,,2450,2560,110,0.24,0.24
3/18/19,,110,54,740,740,0,0.00,,,2230,2450,220,0.47,0.442,2560,2660,100,0.22,0.216
3/19/19,180,,,740,1070,330,0.72,0.72,3,2450,2450,0,0.00,,2660,2660,0,0.00,
3/20/19,184,64,64,1070,1430,360,0.79,0.734,3,2450,2580,130,0.28,0.254,2660,2790,130,0.29,0.254
3/22/19,,,23,1430,1430,0,0.00,,,2580,2580,0,0.00,,2790,2870,80,0.18,0.094
3/23/19,,50,26,1430,1430,0,0.00,,,2580,2680,100,0.21,0.197,2870,2920,50,0.11,0.103
3/24/19,,,26,1430,1430,0,0.00,,,2680,2680,0,0.00,,2920,2980,60,0.13,0.103
3/25/19,,58,32,1430,1430,0,0.00,,,2680,2810,130,0.28,0.233,2980,3050,70,0.15,0.13
3/26/19,,,35,1430,1430,0,0.00,,,2810,2810,0,0.00,,3050,3120,70,0.15,0.125
3/27/19,,66,31,1430,1430,0,0.00,,,2810,2950,140,0.30,0.264,3120,3190,70,0.15,0.125
