Date,Plant,Rating,Inoculum
15-May-19,1,0,Half-strength
15-May-19,2,1,Half-strength
15-May-19,3,0,Half-strength
15-May-19,4,0,Half-strength
15-May-19,5,0,Full
15-May-19,6,1,Full
15-May-19,7,0,Half-strength
15-May-19,8,5,Half-strength
15-May-19,9,1,Control
15-May-19,10,1,Control
15-May-19,11,0,Control
15-May-19,12,0,Control
15-May-19,13,1,Full
15-May-19,14,1,Full
15-May-19,15,0,Full
15-May-19,16,0,Full
15-May-19,17,1,Control
15-May-19,18,1,Control
15-May-19,19,0,Full
15-May-19,20,1,Full
15-May-19,21,0,Full
15-May-19,22,0,Full
15-May-19,23,0,Control
15-May-19,24,1,Control
15-May-19,25,0,Half-strength
15-May-19,26,0,Half-strength
15-May-19,27,0,Half-strength
15-May-19,28,0,Half-strength
15-May-19,29,1,Half-strength
15-May-19,30,0,Half-strength
15-May-19,31,0,Half-strength
15-May-19,32,0,Half-strength
15-May-19,33,0,Full
15-May-19,34,0,Full
15-May-19,35,0,Control
15-May-19,36,1,Control
15-May-19,37,0,Control
15-May-19,38,0,Control
15-May-19,39,0,Half-strength
15-May-19,40,0,Half-strength
15-May-19,41,1,Control
15-May-19,42,0,Control
15-May-19,43,0,Half-strength
15-May-19,44,1,Half-strength
15-May-19,45,0,Full
15-May-19,46,0,Full
15-May-19,47,1,Control
15-May-19,48,1,Control
15-May-19,49,1,Control
15-May-19,50,0,Control
15-May-19,51,1,Full
15-May-19,52,0,Full
15-May-19,53,4,Full
15-May-19,54,4,Full
23-May-19,1,0,Half-strength
23-May-19,2,1,Half-strength
23-May-19,3,1,Half-strength
23-May-19,4,0,Half-strength
23-May-19,5,0,Full
23-May-19,6,0,Full
23-May-19,7,0,Half-strength
23-May-19,8,5,Half-strength
23-May-19,9,0,Control
23-May-19,10,0,Control
23-May-19,11,0,Control
23-May-19,12,0,Control
23-May-19,13,1,Full
23-May-19,14,3,Full
23-May-19,15,0,Full
23-May-19,16,0,Full
23-May-19,17,1,Control
23-May-19,18,0,Control
