Date,Plant,Block,Cultivar,Inoculum,Irrigation,Rating
3/26/2021,1,1,Monterey,Inoculated,Optimal,2
3/26/2021,2,1,Fronteras,Control,Low,3
3/26/2021,3,1,Monterey,Control,High,0
3/26/2021,4,1,Fronteras,Control,High,0
3/26/2021,5,1,Monterey,Control,Optimal,3
3/26/2021,6,1,Monterey,Control,Low,3
3/26/2021,7,1,Monterey,Inoculated,High,0
3/26/2021,8,1,Fronteras,Inoculated,Low,3
3/26/2021,9,1,Monterey,Inoculated,Low,4
3/26/2021,10,1,Fronteras,Inoculated,High,0
3/26/2021,11,1,Fronteras,Inoculated,Optimal,1
3/26/2021,12,1,Fronteras,Control,Optimal,1
3/26/2021,13,2,Fronteras,Inoculated,Optimal,2
3/26/2021,14,2,Fronteras,Control,High,2
3/26/2021,15,2,Fronteras,Inoculated,Low,2
3/26/2021,16,2,Monterey,Control,Optimal,2
3/26/2021,17,2,Monterey,Inoculated,High,1
3/26/2021,18,2,Fronteras,Control,Low,2
3/26/2021,19,2,Monterey,Inoculated,Low,3
3/26/2021,20,2,Monterey,Control,Low,3
3/26/2021,21,2,Monterey,Inoculated,Optimal,2
3/26/2021,22,2,Monterey,Control,High,0
3/26/2021,23,2,Fronteras,Inoculated,High,1
3/26/2021,24,2,Fronteras,Control,Optimal,1
3/26/2021,25,3,Fronteras,Control,High,1
3/26/2021,26,3,Fronteras,Control,Low,3
3/26/2021,27,3,Fronteras,Inoculated,Low,3
3/26/2021,28,3,Monterey,Inoculated,Low,3
3/26/2021,29,3,Monterey,Control,Optimal,2
3/26/2021,30,3,Fronteras,Control,Optimal,2
3/26/2021,31,3,Monterey,Inoculated,Optimal,2
3/26/2021,32,3,Fronteras,Inoculated,High,1
3/26/2021,33,3,Monterey,Control,Low,4
3/26/2021,34,3,Fronteras,Inoculated,Optimal,3
3/26/2021,35,3,Monterey,Inoculated,High,0
3/26/2021,36,3,Monterey,Control,High,0
3/26/2021,37,4,Monterey,Control,Optimal,3
3/26/2021,38,4,Monterey,Control,Low,4
3/26/2021,39,4,Fronteras,Control,Low,3
3/26/2021,40,4,Monterey,Inoculated,Optimal,0
3/26/2021,41,4,Monterey,Control,High,2
3/26/2021,42,4,Fronteras,Inoculated,Low,3
3/26/2021,43,4,Fronteras,Control,Optimal,3
3/26/2021,44,4,Monterey,Inoculated,Low,3
3/26/2021,45,4,Fronteras,Inoculated,Optimal,3
3/26/2021,46,4,Fronteras,Control,High,1
3/26/2021,47,4,Monterey,Inoculated,High,0
3/26/2021,48,4,Fronteras,Inoculated,High,0
3/26/2021,49,5,Fronteras,Control,Optimal,2
3/26/2021,50,5,Monterey,Control,Low,3
3/26/2021,51,5,Monterey,Control,Optimal,2
3/26/2021,52,5,Monterey,Inoculated,Optimal,2
3/26/2021,53,5,Monterey,Inoculated,High,2
3/26/2021,54,5,Fronteras,Inoculated,Low,3
3/26/2021,55,5,Monterey,Inoculated,Low,3
3/26/2021,56,5,Monterey,Control,High,0
3/26/2021,57,5,Fronteras,Control,Low,3
3/26/2021,58,5,Fronteras,Control,High,2
3/26/2021,59,5,Fronteras,Inoculated,Optimal,2
3/26/2021,60,5,Fronteras,Inoculated,High,0
4/7/2021,1,1,Monterey,Inoculated,Optimal,4
4/7/2021,2,1,Fronteras,Control,Low,4
4/7/2021,3,1,Monterey,Control,High,1
4/7/2021,4,1,Fronteras,Control,High,1
4/7/2021,5,1,Monterey,Control,Optimal,4
4/7/2021,6,1,Monterey,Control,Low,4
4/7/2021,7,1,Monterey,Inoculated,High,0
4/7/2021,8,1,Fronteras,Inoculated,Low,3
4/7/2021,9,1,Monterey,Inoculated,Low,5
4/7/2021,10,1,Fronteras,Inoculated,High,2
4/7/2021,11,1,Fronteras,Inoculated,Optimal,2
4/7/2021,12,1,Fronteras,Control,Optimal,2
4/7/2021,13,2,Fronteras,Inoculated,Optimal,3
4/7/2021,14,2,Fronteras,Control,High,2
4/7/2021,15,2,Fronteras,Inoculated,Low,3
4/7/2021,16,2,Monterey,Control,Optimal,3
4/7/2021,17,2,Monterey,Inoculated,High,2
4/7/2021,18,2,Fronteras,Control,Low,3
4/7/2021,19,2,Monterey,Inoculated,Low,5
4/7/2021,20,2,Monterey,Control,Low,3
4/7/2021,21,2,Monterey,Inoculated,Optimal,2
4/7/2021,22,2,Monterey,Control,High,1
4/7/2021,23,2,Fronteras,Inoculated,High,1
4/7/2021,24,2,Fronteras,Control,Optimal,2
4/7/2021,25,3,Fronteras,Control,High,1
4/7/2021,26,3,Fronteras,Control,Low,3
4/7/2021,27,3,Fronteras,Inoculated,Low,3
4/7/2021,28,3,Monterey,Inoculated,Low,3
4/7/2021,29,3,Monterey,Control,Optimal,2
4/7/2021,30,3,Fronteras,Control,Optimal,2
4/7/2021,31,3,Monterey,Inoculated,Optimal,1
4/7/2021,32,3,Fronteras,Inoculated,High,1
4/7/2021,33,3,Monterey,Control,Low,4
4/7/2021,34,3,Fronteras,Inoculated,Optimal,3
4/7/2021,35,3,Monterey,Inoculated,High,2
4/7/2021,36,3,Monterey,Control,High,2
4/7/2021,37,4,Monterey,Control,Optimal,5
4/7/2021,38,4,Monterey,Control,Low,5
4/7/2021,39,4,Fronteras,Control,Low,4
4/7/2021,40,4,Monterey,Inoculated,Optimal,3
4/7/2021,41,4,Monterey,Control,High,2
4/7/2021,42,4,Fronteras,Inoculated,Low,3
4/7/2021,43,4,Fronteras,Control,Optimal,3
4/7/2021,44,4,Monterey,Inoculated,Low,4
4/7/2021,45,4,Fronteras,Inoculated,Optimal,4
4/7/2021,46,4,Fronteras,Control,High,2
4/7/2021,47,4,Monterey,Inoculated,High,1
4/7/2021,48,4,Fronteras,Inoculated,High,1
4/7/2021,49,5,Fronteras,Control,Optimal,2
4/7/2021,50,5,Monterey,Control,Low,3
4/7/2021,51,5,Monterey,Control,Optimal,2
4/7/2021,52,5,Monterey,Inoculated,Optimal,3
4/7/2021,53,5,Monterey,Inoculated,High,2
4/7/2021,54,5,Fronteras,Inoculated,Low,3
4/7/2021,55,5,Monterey,Inoculated,Low,4
4/7/2021,56,5,Monterey,Control,High,1
4/7/2021,57,5,Fronteras,Control,Low,3
4/7/2021,58,5,Fronteras,Control,High,1
4/7/2021,59,5,Fronteras,Inoculated,Optimal,3
4/7/2021,60,5,Fronteras,Inoculated,High,0
4/22/2021,1,1,Monterey,Inoculated,Optimal,5
4/22/2021,2,1,Fronteras,Control,Low,4
4/22/2021,3,1,Monterey,Control,High,1
4/22/2021,4,1,Fronteras,Control,High,1
4/22/2021,5,1,Monterey,Control,Optimal,4
4/22/2021,6,1,Monterey,Control,Low,4
4/22/2021,7,1,Monterey,Inoculated,High,1
4/22/2021,8,1,Fronteras,Inoculated,Low,5
4/22/2021,9,1,Monterey,Inoculated,Low,5
4/22/2021,10,1,Fronteras,Inoculated,High,0
4/22/2021,11,1,Fronteras,Inoculated,Optimal,3
4/22/2021,12,1,Fronteras,Control,Optimal,1
4/22/2021,13,2,Fronteras,Inoculated,Optimal,5
4/22/2021,14,2,Fronteras,Control,High,2
4/22/2021,15,2,Fronteras,Inoculated,Low,4
4/22/2021,16,2,Monterey,Control,Optimal,2
4/22/2021,17,2,Monterey,Inoculated,High,1
4/22/2021,18,2,Fronteras,Control,Low,4
4/22/2021,19,2,Monterey,Inoculated,Low,5
4/22/2021,20,2,Monterey,Control,Low,4
4/22/2021,21,2,Monterey,Inoculated,Optimal,3
4/22/2021,22,2,Monterey,Control,High,1
4/22/2021,23,2,Fronteras,Inoculated,High,1
4/22/2021,24,2,Fronteras,Control,Optimal,2
4/22/2021,25,3,Fronteras,Control,High,1
4/22/2021,26,3,Fronteras,Control,Low,3
4/22/2021,27,3,Fronteras,Inoculated,Low,5
4/22/2021,28,3,Monterey,Inoculated,Low,3
4/22/2021,29,3,Monterey,Control,Optimal,3
4/22/2021,30,3,Fronteras,Control,Optimal,3
4/22/2021,31,3,Monterey,Inoculated,Optimal,4
4/22/2021,32,3,Fronteras,Inoculated,High,2
4/22/2021,33,3,Monterey,Control,Low,4
4/22/2021,34,3,Fronteras,Inoculated,Optimal,3
4/22/2021,35,3,Monterey,Inoculated,High,2
4/22/2021,36,3,Monterey,Control,High,2
4/22/2021,37,4,Monterey,Control,Optimal,3
4/22/2021,38,4,Monterey,Control,Low,3
4/22/2021,39,4,Fronteras,Control,Low,3
4/22/2021,40,4,Monterey,Inoculated,Optimal,3
4/22/2021,41,4,Monterey,Control,High,2
4/22/2021,42,4,Fronteras,Inoculated,Low,4
4/22/2021,43,4,Fronteras,Control,Optimal,3
4/22/2021,44,4,Monterey,Inoculated,Low,5
4/22/2021,45,4,Fronteras,Inoculated,Optimal,5
4/22/2021,46,4,Fronteras,Control,High,2
4/22/2021,47,4,Monterey,Inoculated,High,2
4/22/2021,48,4,Fronteras,Inoculated,High,2
4/22/2021,49,5,Fronteras,Control,Optimal,3
4/22/2021,50,5,Monterey,Control,Low,4
4/22/2021,51,5,Monterey,Control,Optimal,3
4/22/2021,52,5,Monterey,Inoculated,Optimal,4
4/22/2021,53,5,Monterey,Inoculated,High,2
4/22/2021,54,5,Fronteras,Inoculated,Low,3
4/22/2021,55,5,Monterey,Inoculated,Low,4
4/22/2021,56,5,Monterey,Control,High,2
4/22/2021,57,5,Fronteras,Control,Low,4
4/22/2021,58,5,Fronteras,Control,High,2
4/22/2021,59,5,Fronteras,Inoculated,Optimal,2
4/22/2021,60,5,Fronteras,Inoculated,High,1
5/5/2021,1,1,Monterey,Inoculated,Optimal,5
5/5/2021,2,1,Fronteras,Control,Low,2
5/5/2021,3,1,Monterey,Control,High,2
5/5/2021,4,1,Fronteras,Control,High,2
5/5/2021,5,1,Monterey,Control,Optimal,4
5/5/2021,6,1,Monterey,Control,Low,3
5/5/2021,7,1,Monterey,Inoculated,High,1
5/5/2021,8,1,Fronteras,Inoculated,Low,5
5/5/2021,9,1,Monterey,Inoculated,Low,5
5/5/2021,10,1,Fronteras,Inoculated,High,1
5/5/2021,11,1,Fronteras,Inoculated,Optimal,2
5/5/2021,12,1,Fronteras,Control,Optimal,3
5/5/2021,13,2,Fronteras,Inoculated,Optimal,5
5/5/2021,14,2,Fronteras,Control,High,1
5/5/2021,15,2,Fronteras,Inoculated,Low,5
5/5/2021,16,2,Monterey,Control,Optimal,1
5/5/2021,17,2,Monterey,Inoculated,High,2
5/5/2021,18,2,Fronteras,Control,Low,2
5/5/2021,19,2,Monterey,Inoculated,Low,5
5/5/2021,20,2,Monterey,Control,Low,3
5/5/2021,21,2,Monterey,Inoculated,Optimal,4
5/5/2021,22,2,Monterey,Control,High,2
5/5/2021,23,2,Fronteras,Inoculated,High,2
5/5/2021,24,2,Fronteras,Control,Optimal,2
5/5/2021,25,3,Fronteras,Control,High,1
5/5/2021,26,3,Fronteras,Control,Low,2
5/5/2021,27,3,Fronteras,Inoculated,Low,5
5/5/2021,28,3,Monterey,Inoculated,Low,5
5/5/2021,29,3,Monterey,Control,Optimal,2
5/5/2021,30,3,Fronteras,Control,Optimal,2
5/5/2021,31,3,Monterey,Inoculated,Optimal,5
5/5/2021,32,3,Fronteras,Inoculated,High,1
5/5/2021,33,3,Monterey,Control,Low,3
5/5/2021,34,3,Fronteras,Inoculated,Optimal,3
5/5/2021,35,3,Monterey,Inoculated,High,2
5/5/2021,36,3,Monterey,Control,High,1
5/5/2021,37,4,Monterey,Control,Optimal,2
5/5/2021,38,4,Monterey,Control,Low,3
5/5/2021,39,4,Fronteras,Control,Low,3
5/5/2021,40,4,Monterey,Inoculated,Optimal,3
5/5/2021,41,4,Monterey,Control,High,2
5/5/2021,42,4,Fronteras,Inoculated,Low,3
5/5/2021,43,4,Fronteras,Control,Optimal,3
5/5/2021,44,4,Monterey,Inoculated,Low,5
5/5/2021,45,4,Fronteras,Inoculated,Optimal,5
5/5/2021,46,4,Fronteras,Control,High,1
5/5/2021,47,4,Monterey,Inoculated,High,1
5/5/2021,48,4,Fronteras,Inoculated,High,1
5/5/2021,49,5,Fronteras,Control,Optimal,1
5/5/2021,50,5,Monterey,Control,Low,4
5/5/2021,51,5,Monterey,Control,Optimal,3
5/5/2021,52,5,Monterey,Inoculated,Optimal,5
5/5/2021,53,5,Monterey,Inoculated,High,2
5/5/2021,54,5,Fronteras,Inoculated,Low,3
5/5/2021,55,5,Monterey,Inoculated,Low,5
5/5/2021,56,5,Monterey,Control,High,1
5/5/2021,57,5,Fronteras,Control,Low,2
5/5/2021,58,5,Fronteras,Control,High,1
5/5/2021,59,5,Fronteras,Inoculated,Optimal,1
5/5/2021,60,5,Fronteras,Inoculated,High,1
5/18/2021,1,1,Monterey,Inoculated,Optimal,5
5/18/2021,2,1,Fronteras,Control,Low,2
5/18/2021,3,1,Monterey,Control,High,2
5/18/2021,4,1,Fronteras,Control,High,2
5/18/2021,5,1,Monterey,Control,Optimal,3
5/18/2021,6,1,Monterey,Control,Low,2
5/18/2021,7,1,Monterey,Inoculated,High,2
5/18/2021,8,1,Fronteras,Inoculated,Low,5
5/18/2021,9,1,Monterey,Inoculated,Low,5
5/18/2021,10,1,Fronteras,Inoculated,High,2
5/18/2021,11,1,Fronteras,Inoculated,Optimal,4
5/18/2021,12,1,Fronteras,Control,Optimal,2
5/18/2021,13,2,Fronteras,Inoculated,Optimal,5
5/18/2021,14,2,Fronteras,Control,High,2
5/18/2021,15,2,Fronteras,Inoculated,Low,5
5/18/2021,16,2,Monterey,Control,Optimal,2
5/18/2021,17,2,Monterey,Inoculated,High,1
5/18/2021,18,2,Fronteras,Control,Low,2
5/18/2021,19,2,Monterey,Inoculated,Low,5
5/18/2021,20,2,Monterey,Control,Low,4
5/18/2021,21,2,Monterey,Inoculated,Optimal,4
5/18/2021,22,2,Monterey,Control,High,1
5/18/2021,23,2,Fronteras,Inoculated,High,2
5/18/2021,24,2,Fronteras,Control,Optimal,2
5/18/2021,25,3,Fronteras,Control,High,1
5/18/2021,26,3,Fronteras,Control,Low,2
5/18/2021,27,3,Fronteras,Inoculated,Low,5
5/18/2021,28,3,Monterey,Inoculated,Low,5
5/18/2021,29,3,Monterey,Control,Optimal,2
5/18/2021,30,3,Fronteras,Control,Optimal,2
5/18/2021,31,3,Monterey,Inoculated,Optimal,5
5/18/2021,32,3,Fronteras,Inoculated,High,1
5/18/2021,33,3,Monterey,Control,Low,3
5/18/2021,34,3,Fronteras,Inoculated,Optimal,4
5/18/2021,35,3,Monterey,Inoculated,High,1
5/18/2021,36,3,Monterey,Control,High,1
5/18/2021,37,4,Monterey,Control,Optimal,2
5/18/2021,38,4,Monterey,Control,Low,2
5/18/2021,39,4,Fronteras,Control,Low,2
5/18/2021,40,4,Monterey,Inoculated,Optimal,3
5/18/2021,41,4,Monterey,Control,High,1
5/18/2021,42,4,Fronteras,Inoculated,Low,5
5/18/2021,43,4,Fronteras,Control,Optimal,2
5/18/2021,44,4,Monterey,Inoculated,Low,5
5/18/2021,45,4,Fronteras,Inoculated,Optimal,5
5/18/2021,46,4,Fronteras,Control,High,1
5/18/2021,47,4,Monterey,Inoculated,High,1
5/18/2021,48,4,Fronteras,Inoculated,High,1
5/18/2021,49,5,Fronteras,Control,Optimal,1
5/18/2021,50,5,Monterey,Control,Low,4
5/18/2021,51,5,Monterey,Control,Optimal,1
5/18/2021,52,5,Monterey,Inoculated,Optimal,4
5/18/2021,53,5,Monterey,Inoculated,High,1
5/18/2021,54,5,Fronteras,Inoculated,Low,2
5/18/2021,55,5,Monterey,Inoculated,Low,5
5/18/2021,56,5,Monterey,Control,High,1
5/18/2021,57,5,Fronteras,Control,Low,2
5/18/2021,58,5,Fronteras,Control,High,2
5/18/2021,59,5,Fronteras,Inoculated,Optimal,1
5/18/2021,60,5,Fronteras,Inoculated,High,1
6/2/2021,1,1,Monterey,Inoculated,Optimal,5
6/2/2021,2,1,Fronteras,Control,Low,3
6/2/2021,3,1,Monterey,Control,High,2
6/2/2021,4,1,Fronteras,Control,High,2
6/2/2021,5,1,Monterey,Control,Optimal,3
6/2/2021,6,1,Monterey,Control,Low,4
6/2/2021,7,1,Monterey,Inoculated,High,3
6/2/2021,8,1,Fronteras,Inoculated,Low,5
6/2/2021,9,1,Monterey,Inoculated,Low,x
6/2/2021,10,1,Fronteras,Inoculated,High,2
6/2/2021,11,1,Fronteras,Inoculated,Optimal,5
6/2/2021,12,1,Fronteras,Control,Optimal,4
6/2/2021,13,2,Fronteras,Inoculated,Optimal,5
6/2/2021,14,2,Fronteras,Control,High,1
6/2/2021,15,2,Fronteras,Inoculated,Low,3
6/2/2021,16,2,Monterey,Control,Optimal,4
6/2/2021,17,2,Monterey,Inoculated,High,2
6/2/2021,18,2,Fronteras,Control,Low,2
6/2/2021,19,2,Monterey,Inoculated,Low,x
6/2/2021,20,2,Monterey,Control,Low,5
6/2/2021,21,2,Monterey,Inoculated,Optimal,4
6/2/2021,22,2,Monterey,Control,High,2
6/2/2021,23,2,Fronteras,Inoculated,High,2
6/2/2021,24,2,Fronteras,Control,Optimal,2
6/2/2021,25,3,Fronteras,Control,High,1
6/2/2021,26,3,Fronteras,Control,Low,4
6/2/2021,27,3,Fronteras,Inoculated,Low,5
6/2/2021,28,3,Monterey,Inoculated,Low,x
6/2/2021,29,3,Monterey,Control,Optimal,4
6/2/2021,30,3,Fronteras,Control,Optimal,2
6/2/2021,31,3,Monterey,Inoculated,Optimal,x
6/2/2021,32,3,Fronteras,Inoculated,High,2
6/2/2021,33,3,Monterey,Control,Low,3
6/2/2021,34,3,Fronteras,Inoculated,Optimal,5
6/2/2021,35,3,Monterey,Inoculated,High,1
6/2/2021,36,3,Monterey,Control,High,1
6/2/2021,37,4,Monterey,Control,Optimal,4
6/2/2021,38,4,Monterey,Control,Low,4
6/2/2021,39,4,Fronteras,Control,Low,2
6/2/2021,40,4,Monterey,Inoculated,Optimal,4
6/2/2021,41,4,Monterey,Control,High,1
6/2/2021,42,4,Fronteras,Inoculated,Low,5
6/2/2021,43,4,Fronteras,Control,Optimal,3
6/2/2021,44,4,Monterey,Inoculated,Low,x
6/2/2021,45,4,Fronteras,Inoculated,Optimal,5
6/2/2021,46,4,Fronteras,Control,High,1
6/2/2021,47,4,Monterey,Inoculated,High,1
6/2/2021,48,4,Fronteras,Inoculated,High,1
6/2/2021,49,5,Fronteras,Control,Optimal,3
6/2/2021,50,5,Monterey,Control,Low,4
6/2/2021,51,5,Monterey,Control,Optimal,3
6/2/2021,52,5,Monterey,Inoculated,Optimal,5
6/2/2021,53,5,Monterey,Inoculated,High,2
6/2/2021,54,5,Fronteras,Inoculated,Low,3
6/2/2021,55,5,Monterey,Inoculated,Low,x
6/2/2021,56,5,Monterey,Control,High,1
6/2/2021,57,5,Fronteras,Control,Low,2
6/2/2021,58,5,Fronteras,Control,High,1
6/2/2021,59,5,Fronteras,Inoculated,Optimal,3
6/2/2021,60,5,Fronteras,Inoculated,High,1
6/25/2021,1,1,Monterey,Inoculated,Optimal,5
6/25/2021,2,1,Fronteras,Control,Low,4
6/25/2021,3,1,Monterey,Control,High,2
6/25/2021,4,1,Fronteras,Control,High,1
6/25/2021,5,1,Monterey,Control,Optimal,4
6/25/2021,6,1,Monterey,Control,Low,4
6/25/2021,7,1,Monterey,Inoculated,High,2
6/25/2021,8,1,Fronteras,Inoculated,Low,5
6/25/2021,9,1,Monterey,Inoculated,Low,x
6/25/2021,10,1,Fronteras,Inoculated,High,3
6/25/2021,11,1,Fronteras,Inoculated,Optimal,5
6/25/2021,12,1,Fronteras,Control,Optimal,2
6/25/2021,13,2,Fronteras,Inoculated,Optimal,5
6/25/2021,14,2,Fronteras,Control,High,1
6/25/2021,15,2,Fronteras,Inoculated,Low,5
6/25/2021,16,2,Monterey,Control,Optimal,4
6/25/2021,17,2,Monterey,Inoculated,High,2
6/25/2021,18,2,Fronteras,Control,Low,3
6/25/2021,19,2,Monterey,Inoculated,Low,x
6/25/2021,20,2,Monterey,Control,Low,4
6/25/2021,21,2,Monterey,Inoculated,Optimal,5
6/25/2021,22,2,Monterey,Control,High,2
6/25/2021,23,2,Fronteras,Inoculated,High,2
6/25/2021,24,2,Fronteras,Control,Optimal,3
6/25/2021,25,3,Fronteras,Control,High,1
6/25/2021,26,3,Fronteras,Control,Low,5
6/25/2021,27,3,Fronteras,Inoculated,Low,5
6/25/2021,28,3,Monterey,Inoculated,Low,x
6/25/2021,29,3,Monterey,Control,Optimal,4
6/25/2021,30,3,Fronteras,Control,Optimal,2
6/25/2021,31,3,Monterey,Inoculated,Optimal,x
6/25/2021,32,3,Fronteras,Inoculated,High,1
6/25/2021,33,3,Monterey,Control,Low,4
6/25/2021,34,3,Fronteras,Inoculated,Optimal,5
6/25/2021,35,3,Monterey,Inoculated,High,2
