Date,Monterey High,Petaluma High,Monterey Optimal,Petaluma Low,Monterey Low,Petaluma Optimal
1/16/19 1:00,-2.62,17.16,14.85,9.48,9.16,22.35
1/16/19 1:05,-2.62,-2.99,-3.09,1.21,1.25,1.07
1/16/19 1:10,-2.62,-2.99,-3.09,1.21,1.25,1.07
1/16/19 1:15,-2.62,-2.99,-3.09,1.21,1.25,1.07
1/16/19 1:20,-2.91,-3.28,-3.42,0.86,0.82,0.82
1/16/19 1:25,-3.05,-3.42,-3.57,0.7,0.63,0.7
1/16/19 1:30,-3.05,-3.42,-3.57,0.7,0.63,0.7
1/16/19 1:35,-3.06,-3.34,-3.54,0.7,0.69,0.58
1/16/19 1:40,-3.07,-3.3,-3.52,0.7,0.71,0.53
1/16/19 1:45,-3.07,-3.3,-3.52,0.7,0.71,0.53
1/16/19 1:50,-3.06,-3.24,-3.47,0.72,0.74,0.5
1/16/19 1:55,-3.05,-3.22,-3.44,0.73,0.76,0.48
1/16/19 2:00,-3.05,-3.22,-3.44,0.73,0.76,0.48
1/16/19 2:05,-3.12,-3.36,-3.56,0.56,0.54,0.4
1/16/19 2:10,-3.15,-3.42,-3.62,0.48,0.43,0.36
1/16/19 2:15,-3.15,-3.42,-3.62,0.48,0.43,0.36
1/16/19 2:20,-3.13,-3.39,-3.57,0.49,0.46,0.31
1/16/19 2:25,-3.12,-3.37,-3.55,0.5,0.48,0.28
1/16/19 2:30,-3.12,-3.37,-3.55,0.5,0.48,0.28
1/16/19 2:35,-3.02,-3.17,-3.33,0.5,0.67,0.33
1/16/19 2:40,-2.97,-3.07,-3.22,0.78,0.76,0.36
1/16/19 2:45,-2.97,-3.07,-3.22,0.78,0.76,0.36
1/16/19 2:50,-2.87,-2.98,-3.22,0.78,0.76,0.49
1/16/19 2:55,-2.82,-2.94,-3.11,0.86,0.86,0.56
1/16/19 3:00,-2.82,-2.94,-3.11,0.86,0.86,0.56
1/16/19 3:05,-2.6,-2.82,-3.11,0.96,0.97,0.67
1/16/19 3:10,-2.49,-2.76,-2.89,1.01,1.02,0.73
1/16/19 3:15,-2.49,-2.76,-2.89,1.01,1.02,0.73
1/16/19 3:20,-2.49,-2.76,-2.89,1.02,1.03,0.73
1/16/19 3:25,-2.57,-2.81,-2.89,1.03,1.04,0.84
1/16/19 3:30,-2.57,-2.81,-2.89,1.03,1.04,0.84
1/16/19 3:35,-2.57,-2.81,-2.86,1.06,1.11,0.84
1/16/19 3:40,-2.47,-2.71,-2.84,1.08,1.14,0.87
1/16/19 3:45,-2.47,-2.71,-2.84,1.08,1.14,0.87
1/16/19 3:50,-2.47,-2.71,-2.68,1.19,1.25,0.87
1/16/19 3:55,-2.42,-2.48,-2.61,1.24,1.3,1.04
1/16/19 4:00,-2.42,-2.48,-2.61,1.24,1.3,1.04
1/16/19 4:05,-2.42,-2.48,-2.47,1.34,1.4,1.04
1/16/19 4:10,-2.1,-2.29,-2.4,1.39,1.45,1.23
1/16/19 4:15,-2.09,-2.28,-2.4,1.39,1.45,1.24
1/16/19 4:20,-2.09,-2.28,-2.35,1.39,1.45,1.24
1/16/19 4:25,-2.06,-2.23,-2.33,1.44,1.58,1.38
1/16/19 4:30,-2.06,-2.23,-2.33,1.44,1.58,1.38
1/16/19 4:35,-2.06,-2.23,-2.33,1.44,1.58,1.38
1/16/19 4:40,-2.04,-2.18,-2.25,1.49,1.65,1.5
1/16/19 4:45,-2.04,-2.18,-2.25,1.49,1.65,1.5
1/16/19 4:50,-2.04,-2.18,-2.25,1.49,1.65,1.5
1/16/19 4:55,-1.94,-2.06,-2.15,1.56,1.76,1.61
1/16/19 5:00,-1.94,-2.05,-2.15,1.56,1.76,1.61
1/16/19 5:05,-1.94,-2.05,-2.15,1.56,1.76,1.61
1/16/19 5:10,-1.8,-1.95,-2.02,1.69,1.86,1.72
1/16/19 5:15,-1.79,-1.95,-2.02,1.69,1.86,1.72
1/16/19 5:20,-1.79,-1.95,-2.02,1.69,1.86,1.72
1/16/19 5:25,-1.69,-1.85,-1.9,1.77,1.93,1.84
1/16/19 5:30,-1.69,-1.85,-1.9,1.77,1.93,1.84
1/16/19 5:35,-1.69,-1.85,-1.9,1.77,1.93,1.84
1/16/19 5:40,-1.59,-1.75,-1.82,1.87,2.04,1.92
1/16/19 5:45,-1.59,-1.75,-1.8,1.87,2.06,1.92
1/16/19 5:50,-1.59,-1.75,-1.8,1.87,2.06,1.92
1/16/19 5:55,-1.48,-1.65,-1.7,1.93,2.12,2.03
1/16/19 6:00,-1.48,-1.65,-1.67,1.94,2.14,2.03
1/16/19 6:05,-1.48,-1.65,-1.67,1.94,2.14,2.03
1/16/19 6:10,-1.38,-1.54,-1.63,2.01,2.18,2.09
1/16/19 6:15,-1.38,-1.54,-1.62,2.02,2.19,2.09
1/16/19 6:20,-1.38,-1.54,-1.62,2.02,2.19,2.09
1/16/19 6:25,-1.38,-1.54,-1.62,2.09,2.27,2.2
1/16/19 6:30,-1.38,-1.54,-1.62,2.1,2.29,2.2
1/16/19 6:35,-1.38,-1.54,-1.62,2.1,2.29,2.2
1/16/19 6:40,-1.24,-1.42,-1.48,2.15,2.35,2.31
1/16/19 6:45,-1.23,-1.42,-1.44,2.17,2.37,2.32
1/16/19 6:50,-1.23,-1.42,-1.44,2.17,2.37,2.32
1/16/19 6:55,-1.16,-1.32,-1.36,2.24,2.42,2.42
1/16/19 7:00,-1.16,-1.32,-1.34,2.27,2.44,2.43
1/16/19 7:05,-1.16,-1.32,-1.34,2.27,2.44,2.43
1/16/19 7:10,-1.11,-1.27,-1.28,2.31,2.5,2.52
1/16/19 7:15,-1.11,-1.27,-1.26,2.32,2.52,2.52
1/16/19 7:20,-1.11,-1.27,-1.26,2.32,2.52,2.52
