Date,Fronteras High 1,Fronteras Low 1,Fronteras High 2,Monterey Optimal 1,Fronteras Optimal 1,Monterey High 1,Monterey Low 1,Fronteras Low 2,Monterey Low 2,Monterey High 2,Fronteras Optimal 2,Monterey Optimal 2
12/3/19 0:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 0:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 0:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 0:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 1:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 1:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 1:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 1:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 2:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 2:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 2:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 2:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 3:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 3:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 3:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 3:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 4:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 4:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 4:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 4:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 5:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 5:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 5:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 5:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 6:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 6:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 6:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 6:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 7:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 7:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 7:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 7:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 8:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 8:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 8:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 8:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 9:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 9:28,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 9:43,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 9:58,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,1.8
12/3/19 10:13,-0.75,3.76,10.05,11.37,8.21,4.29,1.62,7.54,4.07,11.43,20.19,0.9
12/3/19 10:28,-0.75,3.76,10.05,11.37,9.8,4.9,1.3,7.54,4.07,11.43,20.19,8.3
12/3/19 10:43,-0.75,3.76,10.05,10.4,10.9,3,5.8,7.54,4.07,11.43,20.19,9.2
