Date,Block,Irrigation,Cultivar,Inoculum,Plant,Roots_Mp,Roots_none,Total_Roots,Percent_Roots_Mp,Crown_Mp,Crown_none,Total_Crown,Percent_Crown_Mp,Symptomatic,Mp,Random,Stored,New_Name,Notes
11-19-19,1,High,Fronteras,Control,3,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,1,High,Fronteras,Inoculated,11,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,1,High,Monterey,Control,23,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,1,Low,Fronteras,Control,2,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,1,Low,Monterey,Control,15,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,1,Optimal,Fronteras,Control,10,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,1,Optimal,Monterey,Control,23,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,2,High,Fronteras,Control,23,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,2,High,Monterey,Control,23,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,2,Low,Fronteras,Control,3,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,2,Low,Monterey,Control,2,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,2,Low,Monterey,Inoculated,19,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,2,Optimal,Fronteras,Control,17,0,0,20,0,0,0,8,0,Yes,N,yes,,,"Microsclerotia seen but Verticillium conidia and conidiophores seen. No M.p., thrown out"
11-19-19,2,Optimal,Fronteras,Inoculated,22,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,2,Optimal,Monterey,Control,22,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,3,High,Fronteras,Control,23,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,3,High,Monterey,Control,27,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,3,Low,Fronteras,Control,27,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,3,Low,Monterey,Control,14,0,0,20,0,0,0,8,0,Yes,N,yes,,,"No M.p., thrown out"
11-19-19,3,Optimal,Fronteras,Control,11,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,3,Optimal,Monterey,Control,7,0,0,20,0,0,0,8,0,No,N,yes,,,"No M.p., thrown out"
11-19-19,3,High,Monterey,Inoculated,2,4,0,20,20,0,0,8,0,No,Y,yes,yes,VSP-0489-MAph FRan,"Crown on PDA+++ covered in Rhizopus, thrown out"
11-19-19,3,Low,Monterey,Inoculated,2,4,0,20,20,0,0,8,0,No,Y,yes,yes,VSP-0490-MAph FRan,
11-19-19,2,Low,Fronteras,Inoculated,26,0,0,20,0,0,0,8,0,No,N,yes,,,
11-19-19,3,High,Fronteras,Inoculated,14,1,0,21,4.761904762,0,0,8,0,Yes,Y,yes,,,
11-19-19,3,Low,Fronteras,Inoculated,7,1,0,20,5,3,0,8,37.5,Yes,Y,yes,,,
11-19-19,1,Low,Monterey,Inoculated,18,8,0,20,40,0,0,8,0,No,Y,yes,yes,VSP-0492-MAph FRan,
11-19-19,1,High,Monterey,Inoculated,22,2,0,20,10,0,0,8,0,Yes,Y,yes,yes,VSP-0491-MAph FRan,
11-19-19,2,High,Fronteras,Inoculated,27,2,0,20,10,0,0,8,0,Yes,Y,yes,,,
11-19-19,2,High,Monterey,Inoculated,30,3,0,20,15,1,0,8,12.5,No,Y,yes,yes,VSP-0494-MAph FRan,
11-19-19,1,Optimal,Monterey,Inoculated,14,3,0,20,15,0,0,8,0,No,Y,yes,yes,VSP-0493-MAph FRan,
11-19-19,3,Optimal,Monterey,Inoculated,14,4,0,20,20,0,0,8,0,No,Y,yes,yes,VSP-0487-MAph FRan,
11-19-19,1,Optimal,Fronteras,Inoculated,10,4,0,20,20,0,0,8,0,No,Y,yes,,,
11-19-19,3,Optimal,Fronteras,Inoculated,3,4,0,20,20,3,0,8,37.5,Yes,Y,yes,,,
11-19-19,2,Optimal,Monterey,Inoculated,27,4,0,20,20,1,0,8,12.5,No,Y,yes,yes,VSP-0488-MAph FRan,Microsclerotia seen but Verticillium conidia and conidiophores seen
11-19-19,1,Low,Fronteras,Inoculated,11,5,0,20,25,0,0,8,0,No,Y,yes,,,
12-16-19,2,High,Fronteras,Control,30,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,High,Monterey,Control,22,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,Low,Fronteras,Control,26,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,Low,Monterey,Control,10,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,Low,Monterey,Inoculated,18,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,Optimal,Monterey,Control,27,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,Optimal,Monterey,Inoculated,2,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,3,High,Fronteras,Control,7,0,0,21,0,0,0,8,0,No,N,yes,,,
12-16-19,3,High,Monterey,Control,11,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,3,Optimal,Fronteras,Control,26,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,3,Optimal,Monterey,Control,30,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,4,High,Monterey,Control,10,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,4,Low,Fronteras,Control,22,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,4,Low,Fronteras,Inoculated,3,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,4,Optimal,Monterey,Control,11,0,0,20,0,0,0,8,0,No,N,yes,,,
12-16-19,2,High,Monterey,Inoculated,2,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,2,Low,Fronteras,Inoculated,3,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,2,Optimal,Fronteras,Control,7,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,3,High,Fronteras,Inoculated,23,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,3,Low,Fronteras,Control,6,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,3,Low,Fronteras,Inoculated,22,0,0,22,0,0,0,8,0,Yes,N,yes,,,
12-16-19,3,Low,Monterey,Control,27,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,4,High,Fronteras,Control,7,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,4,Low,Monterey,Control,19,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,4,Optimal,Fronteras,Control,14,0,0,20,0,0,0,8,0,Yes,N,yes,,,
12-16-19,4,High,Fronteras,Inoculated,23,1,0,20,5,0,0,8,0,No,Y,yes,Yes,VSP-0502-MAph FRan,crown PDA+++ covered in Rhizopus
12-16-19,3,High,Monterey,Inoculated,23,1,0,20,5,1,0,8,12.5,No,Y,yes,,,
12-16-19,3,Low,Monterey,Inoculated,22,1,0,20,5,1,0,8,12.5,No,Y,yes,Yes,VSP-0500-MAph FRan,
12-16-19,2,Optimal,Fronteras,Inoculated,14,2,0,20,10,0,0,8,0,No,Y,yes,Yes,VSP-0499-MAph FRan,
12-16-19,4,Optimal,Fronteras,Inoculated,27,2,0,20,10,0,0,8,0,No,Y,yes,,,
12-16-19,3,Optimal,Monterey,Inoculated,23,2,0,20,10,0,0,8,0,Yes,Y,yes,,,
12-16-19,3,Optimal,Fronteras,Inoculated,18,2,0,20,10,1,0,8,0,No,Y,yes,,,
12-16-19,4,Low,Monterey,Inoculated,27,2,0,20,100,1,0,8,12.5,Yes,Y,yes,,,
12-16-19,2,High,Fronteras,Inoculated,7,3,0,20,15,0,0,8,0,No,Y,yes,,,
12-16-19,4,Optimal,Monterey,Inoculated,23,3,0,20,15,0,0,8,0,No,Y,yes,,,
12-16-19,4,High,Monterey,Inoculated,15,8,0,20,40,0,0,8,0,No,Y,yes,Yes,VSP-0501-MAph FRan,
1-14-2020,1,High,Fronteras,Control,23,0,0,20,0,0,0,8,0,yes,N,yes,,,
1-14-2020,1,High,Monterey,Control,27,0,0,20,0,0,0,8,0,yes,N,yes,,,
1-14-2020,1,Low,Fronteras,Control,18,0,0,13,0,0,0,8,0,no,N,yes,,,
1-14-2020,1,Low,Monterey,Control,6,0,0,20,0,0,0,8,0,yes,N,yes,,,
