Season,Date,Block,Irrigation,Cultivar,Inoculum,Plant,Roots_Mp,Roots_none,Total_Roots,Percent_Roots_Mp,Crown_Mp,Crown_None,Total_Crown,Percent_Crown_Mp,Random,Stored,New_Name,notes
2020,5-31-2021,4,Low,Fronteras,Inoculated,26,0,0,20,0,8,0,8,100,yes,,,
2020,6-14-2021,3,Low,Monterey,Control,2,8,0,20,40,8,0,8,100,no,yes (in process),VSP-0612,
2020,6-14-2021,4,Low,Fronteras,Control,21,0,0,20,0,8,0,8,100,no,yes (in process),VSP-0615,
2020,6-14-2021,1,Low,Monterey,Inoculated,12,0,0,20,0,8,0,8,100,no,,,
2020,6-28-2021,1,Low,Fronteras,Inoculated,15,0,0,20,0,8,0,8,100,yes,in process,,
2020,6-28-2021,1,Low,Fronteras,Inoculated,30,NA,NA,NA,NA,8,0,8,100,no,,,
2020,6-28-2021,1,Low,Monterey,Control,25,NA,NA,NA,NA,8,0,8,100,no,,,
2020,6-28-2021,2,High,Monterey,Inoculated,3,NA,NA,NA,NA,8,0,8,100,no,,,
2020,6-28-2021,2,High,Monterey,Inoculated,22,NA,NA,NA,NA,8,0,8,100,no,,,
2020,6-28-2021,3,Low,Fronteras,Inoculated,10,3,0,20,15,8,0,8,100,yes,,,
2020,6-28-2021,4,Low,Fronteras,Control,14,NA,NA,NA,NA,8,0,8,100,no,"in process, bleach dilution made",,
2020,6-28-2021,4,Low,Fronteras,Inoculated,1,NA,NA,NA,NA,8,0,8,100,no,,,
2020,5-3-2021,2,Low,Fronteras,Inoculated,1,3,0,18,16.66666667,7,0,8,87.5,no,,,
2020,5-3-2021,4,High,Monterey,Control,1,4,0,20,20,7,0,8,87.5,no,yes (in process),,
2020,5-3-2021,3,Low,Monterey,Control,19,4,0,20,20,7,0,8,87.5,yes,yes (crown in process),,
2020,5-31-2021,2,Optimal,Monterey,Inoculated,19,1,0,20,5,7,0,8,87.5,yes,,,
2020,5-31-2021,4,Low,Fronteras,Control,27,2,0,20,10,7,0,8,87.5,yes,yes (in process),,
2020,6-14-2021,3,Optimal,Fronteras,Control,1,0,0,20,0,7,0,8,87.5,no,yes (in process),VSP-0613,
2020,6-14-2021,4,Optimal,Monterey,Control,1,5,0,20,25,7,0,8,87.5,no,yes (in process),VSP-0616,
2020,6-28-2021,1,Low,Fronteras,Control,9,NA,NA,NA,NA,7,0,8,87.5,no,,,
2020,6-28-2021,1,Low,Monterey,Inoculated,9,NA,NA,NA,NA,7,0,8,87.5,no,,,
